x,y,z
0,0,0
6.1500000000000004e-05,0,0
6.1500000000000004e-05,0,3.3000000000000002e-06
0,0,3.3000000000000002e-06
6.1500000000000004e-05,0,6.6000000000000003e-06
0,0,6.6000000000000003e-06
6.1500000000000004e-05,0,9.9000000000000001e-06
0,0,9.9000000000000001e-06
6.1500000000000004e-05,0,1.3200000000000001e-05
0,0,1.3200000000000001e-05
6.1500000000000004e-05,0,1.6500000000000001e-05
0,0,1.6500000000000001e-05
6.1500000000000004e-05,0,1.98e-05
0,0,1.98e-05
6.1500000000000004e-05,0,2.3099999999999999e-05
0,0,2.3099999999999999e-05
6.1500000000000004e-05,0,2.6400000000000001e-05
0,0,2.6400000000000001e-05
6.1500000000000004e-05,0,2.97e-05
0,0,2.97e-05
6.1500000000000004e-05,0,3.3000000000000003e-05
0,0,3.3000000000000003e-05
0.00012300000000000001,0,0
0.00012300000000000001,0,3.3000000000000002e-06
0.00012300000000000001,0,6.6000000000000003e-06
0.00012300000000000001,0,9.9000000000000001e-06
0.00012300000000000001,0,1.3200000000000001e-05
0.00012300000000000001,0,1.6500000000000001e-05
0.00012300000000000001,0,1.98e-05
0.00012300000000000001,0,2.3099999999999999e-05
0.00012300000000000001,0,2.6400000000000001e-05
0.00012300000000000001,0,2.97e-05
0.00012300000000000001,0,3.3000000000000003e-05
0.00018450000000000001,0,0
0.00018450000000000001,0,3.3000000000000002e-06
0.00018450000000000001,0,6.6000000000000003e-06
0.00018450000000000001,0,9.9000000000000001e-06
0.00018450000000000001,0,1.3200000000000001e-05
0.00018450000000000001,0,1.6500000000000001e-05
0.00018450000000000001,0,1.98e-05
0.00018450000000000001,0,2.3099999999999999e-05
0.00018450000000000001,0,2.6400000000000001e-05
0.00018450000000000001,0,2.97e-05
0.00018450000000000001,0,3.3000000000000003e-05
0.00024600000000000002,0,0
0.00024600000000000002,0,3.3000000000000002e-06
0.00024600000000000002,0,6.6000000000000003e-06
0.00024600000000000002,0,9.9000000000000001e-06
0.00024600000000000002,0,1.3200000000000001e-05
0.00024600000000000002,0,1.6500000000000001e-05
0.00024600000000000002,0,1.98e-05
0.00024600000000000002,0,2.3099999999999999e-05
0.00024600000000000002,0,2.6400000000000001e-05
0.00024600000000000002,0,2.97e-05
0.00024600000000000002,0,3.3000000000000003e-05
0.00030749999999999999,0,0
0.00030749999999999999,0,3.3000000000000002e-06
0.00030749999999999999,0,6.6000000000000003e-06
0.00030749999999999999,0,9.9000000000000001e-06
0.00030749999999999999,0,1.3200000000000001e-05
0.00030749999999999999,0,1.6500000000000001e-05
0.00030749999999999999,0,1.98e-05
0.00030749999999999999,0,2.3099999999999999e-05
0.00030749999999999999,0,2.6400000000000001e-05
0.00030749999999999999,0,2.97e-05
0.00030749999999999999,0,3.3000000000000003e-05
0.00036900000000000002,0,0
0.00036900000000000002,0,3.3000000000000002e-06
0.00036900000000000002,0,6.6000000000000003e-06
0.00036900000000000002,0,9.9000000000000001e-06
0.00036900000000000002,0,1.3200000000000001e-05
0.00036900000000000002,0,1.6500000000000001e-05
0.00036900000000000002,0,1.98e-05
0.00036900000000000002,0,2.3099999999999999e-05
0.00036900000000000002,0,2.6400000000000001e-05
0.00036900000000000002,0,2.97e-05
0.00036900000000000002,0,3.3000000000000003e-05
0.0004305,0,0
0.0004305,0,3.3000000000000002e-06
0.0004305,0,6.6000000000000003e-06
0.0004305,0,9.9000000000000001e-06
0.0004305,0,1.3200000000000001e-05
0.0004305,0,1.6500000000000001e-05
0.0004305,0,1.98e-05
0.0004305,0,2.3099999999999999e-05
0.0004305,0,2.6400000000000001e-05
0.0004305,0,2.97e-05
0.0004305,0,3.3000000000000003e-05
0.00049200000000000003,0,0
0.00049200000000000003,0,3.3000000000000002e-06
0.00049200000000000003,0,6.6000000000000003e-06
0.00049200000000000003,0,9.9000000000000001e-06
0.00049200000000000003,0,1.3200000000000001e-05
0.00049200000000000003,0,1.6500000000000001e-05
0.00049200000000000003,0,1.98e-05
0.00049200000000000003,0,2.3099999999999999e-05
0.00049200000000000003,0,2.6400000000000001e-05
0.00049200000000000003,0,2.97e-05
0.00049200000000000003,0,3.3000000000000003e-05
0.00055349999999999996,0,0
0.00055349999999999996,0,3.3000000000000002e-06
